"Platform","Scout"
"Customer","c2bf4995e1bf3ce1"
"Report By","Elansol Technologies Pvt Ltd"
"Start Date","10-12-2025 10:27"
"End Date","11-12-2025 10:27"

"Sr. No","Violation","Zone","Camera","Alarm Triggered","Time"
"1","Hard hat missing, Safety vest not worn, Safety glasses missing","Zone C","CAM04","true","11-12-2025 10:25"
"2","Hard hat missing, Safety vest not worn, Safety glasses missing","Zone C","CAM04","true","11-12-2025 10:25"
"3","Hard hat missing, Safety vest not worn, Safety glasses missing","Zone B","CAM01","true","11-12-2025 10:25"
"4","Hard hat missing, Safety vest not worn, Safety glasses missing","Zone D","CAM04","true","11-12-2025 10:25"
"5","Hard hat missing, Safety vest not worn, Safety glasses missing","Zone B","CAM01","true","11-12-2025 10:25"
"6","Hard hat missing, Safety vest not worn, Safety glasses missing","Zone D","CAM03","true","11-12-2025 10:25"
"7","Hard hat missing, Safety vest not worn, Safety glasses missing","Zone B","CAM02","true","11-12-2025 10:25"
"8","Hard hat missing, Safety vest not worn, Safety glasses missing","Zone D","CAM02","true","11-12-2025 10:25"
"9","Hard hat missing, Safety vest not worn, Safety glasses missing","Zone B","CAM01","true","11-12-2025 10:25"
"10","Hard hat missing, Safety vest not worn, Safety glasses missing","Zone D","CAM04","true","11-12-2025 10:25"
"11","Hard hat missing, Safety vest not worn, Safety glasses missing","Zone C","CAM04","true","11-12-2025 10:25"
"12","Hard hat missing, Safety vest not worn, Safety glasses missing","Zone C","CAM02","true","11-12-2025 10:25"
"13","Hard hat missing, Safety vest not worn, Safety glasses missing","Zone C","CAM01","true","11-12-2025 10:25"
"14","Hard hat missing, Safety vest not worn, Safety glasses missing","Zone D","CAM03","true","11-12-2025 10:25"
"15","Hard hat missing, Safety vest not worn, Safety glasses missing","Zone B","CAM04","true","11-12-2025 10:25"
"16","Hard hat missing, Safety vest not worn, Safety glasses missing","Zone A","CAM04","true","11-12-2025 10:25"
"17","Hard hat missing, Safety vest not worn, Safety glasses missing","Zone C","CAM04","true","11-12-2025 10:25"
"18","Hard hat missing, Safety vest not worn, Safety glasses missing","Zone B","CAM01","true","11-12-2025 10:25"
"19","Hard hat missing, Safety vest not worn, Safety glasses missing","Zone C","CAM03","true","11-12-2025 10:25"
"20","Hard hat missing, Safety vest not worn, Safety glasses missing","Zone A","CAM01","true","11-12-2025 10:25"
"21","Hard hat missing, Safety vest not worn, Safety glasses missing","Zone B","CAM04","true","11-12-2025 10:25"
"22","Hard hat missing, Safety vest not worn, Safety glasses missing","Zone A","CAM01","true","11-12-2025 10:25"
"23","Hard hat missing, Safety vest not worn, Safety glasses missing","Zone B","CAM01","true","11-12-2025 10:25"
"24","Hard hat missing, Safety vest not worn, Safety glasses missing","Zone A","CAM01","true","11-12-2025 10:25"
"25","Hard hat missing, Safety vest not worn, Safety glasses missing","Zone A","CAM02","true","11-12-2025 10:25"
"26","Hard hat missing, Safety vest not worn, Safety glasses missing","Zone D","CAM03","true","11-12-2025 10:25"
"27","Hard hat missing, Safety vest not worn, Safety glasses missing","Zone B","CAM03","true","11-12-2025 10:25"
"28","Hard hat missing, Safety vest not worn, Safety glasses missing","Zone B","CAM04","true","11-12-2025 10:25"
"29","Hard hat missing, Safety vest not worn, Safety glasses missing","Zone A","CAM01","true","11-12-2025 10:25"
"30","Hard hat missing, Safety vest not worn, Safety glasses missing","Zone D","CAM01","true","11-12-2025 10:25"
"31","Hard hat missing, Safety vest not worn, Safety glasses missing","Zone C","CAM04","true","11-12-2025 10:25"
"32","Hard hat missing, Safety vest not worn, Safety glasses missing","Zone A","CAM04","true","11-12-2025 10:25"
"33","Hard hat missing, Safety vest not worn, Safety glasses missing","Zone B","CAM03","true","11-12-2025 10:25"
"34","Hard hat missing, Safety vest not worn, Safety glasses missing","Zone B","CAM01","true","11-12-2025 10:25"
"35","Hard hat missing, Safety vest not worn, Safety glasses missing","Zone A","CAM01","true","11-12-2025 10:25"
"36","Hard hat missing, Safety vest not worn, Safety glasses missing","Zone D","CAM04","true","11-12-2025 10:25"
